id_mensaje,url_imagen_original,url_imagen_local,canal_origen,contexto_lectura,timestamp,tamaño_bytes,extension
1340784335766290454,https://cdn.discordapp.com/attachments/1340764550554980382/1340784335564836954/cfe71908716493be4768b0f37834ef85.png?ex=683e0bb8&is=683cba38&hm=88fc1918bfbf83ede8e369f986b306e9f627d4be2065708fd7a27cb24fe87f33&,observer_data\imagenes\canal21_1340784335766290454_20250601_192858.png,Canal 21,Mensaje en #✡𝑹𝒖𝒏𝒂𝒔-𝒀-𝑶𝒕𝒓𝒂𝒔-𝒄𝒐𝒔𝒂𝒔,2025-02-16T20:38:16.215000+00:00,331512,.png
1347001695900536934,https://cdn.discordapp.com/attachments/1340764550554980382/1347001695699337299/IMG_1745.jpg?ex=683e4096&is=683cef16&hm=b3b26aca63f72580146924d001154f4a44a673e4465cc244f1f743afac2ad66a&,observer_data\imagenes\canal21_1347001695900536934_20250601_192858.jpg,Canal 21,Mensaje en #✡𝑹𝒖𝒏𝒂𝒔-𝒀-𝑶𝒕𝒓𝒂𝒔-𝒄𝒐𝒔𝒂𝒔,2025-03-06T00:23:50.384000+00:00,26269,.jpg
